Title,DOI,Year,Source,Count
"Anomaly Detection and Failure Root Cause Analysis in (Micro) Service-Based Cloud Applications: A Survey","10.1145/3501297",2022,"ACM, SCOPUS",2
"Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs","10.1145/3338906.3338961",2019,"ACM, SCOPUS",2
"A Fault Injection Platform for Learning AIOps Models","10.1145/3551349.3559503",2023,"ACM, SCOPUS",2
"CloudRanger: Root Cause Identification for Cloud Native Systems","10.1109/CCGRID.2018.00076",2018,"ACM, IEEE, SCOPUS",3
"MicroSketch: Lightweight And&nbsp;Adaptive Sketch Based Performance Issue Detection And&nbsp;Localization In&nbsp;Microservice Systems","10.1007/978-3-031-20984-0_15",2022,"ACM, SCOPUS, SPRINGER",3
"Localization of Operational Faults in Cloud Applications by Mining Causal Dependencies in Logs Using Golden Signals","10.1007/978-3-030-76352-7_17",2020,"ACM, SPRINGER",2
"Graph-Based Trace Analysis for Microservice Architecture Understanding and Problem Diagnosis","10.1145/3368089.3417066",2020,"ACM, SCOPUS",2
"Requirements For&nbsp;Anomaly Detection Techniques For&nbsp;Microservices","10.1007/978-3-031-21388-5_3",2022,"ACM, SCOPUS, SPRINGER",3
"Large-Scale Trace Analysis for Microservice Anomaly Detection and Root Cause Localization","10.1145/3531056.3542765",2022,"ACM, SCOPUS",2
"TrinityRCL: Multi-Granular and Code-Level Root Cause Localization Using Multiple Types of Telemetry Data in Microservice Systems","10.1109/TSE.2023.3241299",2023,"ACM, IEEE, SCOPUS",3
"Look Deep into the Microservice System Anomaly through Very Sparse Logs","10.1145/3543507.3583338",2023,"ACM, SCOPUS",2
"Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study","10.1109/TSE.2018.2887384",2021,"ACM, IEEE, SCOPUS",3
"Inferring Calling Relationship Based on External Observation for Microservice Architecture","10.1007/978-3-319-69035-3_16",2017,"ACM, SCOPUS, SPRINGER",3
"Graph-Based Root Cause Analysis for Service-Oriented and Microservice Architectures","10.1016/j.jss.2019.110432",2020,"ACM, SCOPUS",2
"An Analysis of Call-Site Patching without Strong Hardware Support for Self-Modifying-Code","10.1145/3357390.3361027",2019,"ACM",1
"Swift Birth and Quick Death: Enabling Fast Parallel Guest Boot and Destruction in the Xen Hypervisor","10.1145/3050748.3050758",2017,"ACM",1
"Graph Based Liability Analysis for the Microservice Architecture","10.23919/CNSM55787.2022.9964681",2023,"ACM, IEEE, SCOPUS",3
"Anomaly Detection in Microservice Environments Using Distributed Tracing Data Analysis and NLP","10.1186/s13677-022-00296-4",2022,"ACM, SCOPUS, SPRINGER",3
"IoMiRCA: Root Cause Analysis in IoT-Extended 5G Microservice Environments","10.1145/3555776.3577840",2023,"ACM",1
"LongTale: Toward Automatic Performance Anomaly Explanation in Microservices","10.1145/3489525.3511675",2022,"ACM, SCOPUS",2
"MMRCA: MultiModal Root Cause Analysis","10.1007/978-3-031-14135-5_14",2021,"ACM, SCOPUS, SPRINGER",3
"Sage: Practical and Scalable ML-Driven Performance Debugging in Microservices","10.1145/3445814.3446700",2021,"ACM",1
"Microservices-Based Systems Visualization: Student Research Abstract","10.1145/3477314.3506963",2022,"ACM, SCOPUS",2
"Benchmarking Microservice Systems for Software Engineering Research","10.1145/3183440.3194991",2018,"ACM, SCOPUS",2
"FIRM: An Intelligent Fine-Grained Resource Management Framework for SLO-Oriented Microservices","",2020,"ACM, SCOPUS",2
"Designing and Managing Large-Scale Interactive Microservices in Datacenters","",2021,"ACM",1
"Enabling Containerized, Parametric and Distributed Database Deployment and Benchmarking as a Service","10.1145/3447545.3451188",2021,"ACM, SCOPUS",2
"A Comparative Analysis of Emerging Approaches for Securing Java Software with Intel SGX","10.1016/j.future.2019.03.018",2019,"ACM, SCOPUS",2
"Enhancing Packet Tracing of Microservices in Container Overlay Networks Using EBPF","10.1145/3570748.3570756",2022,"ACM, SCOPUS",2
